"text","likesCount","profileName","commentsCount"
"https://ekantipur.com/news/2024/05/24/criticism-by-international-organizations-related-to-the-press-for-the-arrest-of-kantipur-president-demand-for-release-20-08.html","7","eKantipur","14"
"कान्तिपूरको रोईलो हेर्दा सिरोहिया माथि लागेका सबै आरोपहरु  पुष्टि हुनेवाला छन। 
  मिसन पत्रकारिताका Funding partners, पहिला blackmailing र पैसामा न्युज लुकाएका पार्टी नेता र उच्च ओहोदाका पूर्व कर्मचारीलाई जवरजस्ती ऐक्यवद्वता राख्न लगाउदै मिडीया आतंक गरि सिरोहया माथि छानविन प्रभावित पार्न लागि परेको छ।","20","Dipak Basnet",
"प्रेस माफिया विरुद्ध एकजुट हुनुपर्छ ।","36","Narayan Khatri","1"
"कान्तिपुर मिडिया मुर्दावाद ।
जथाभावी समाचार लेख्ने सबै मिडिया ग्रुप लाई जेल कोच सरकार । जनता साथमा छन्","17","नारायण न्यौपाने निर्दोष",
"बाउ लाई छुटाउन छोराहरु को रुवाइ 😃😃","11","Bimal Pokhrel",
"यो देशका नेता, अदालत ,मिडीया र अरु संघसंस्थाहरु एउटा विदेशी दलालको गुलाम भएको पुष्टि हुनु यो देशको लागि अत्यन्तै दुखद र दुर्भाग्यपूर्ण छ। नेपालीहरुको बुद्धि के छ भने प्रष्ट भयो। This country deserves to be worst as it is now.","27","Pragnya Raut",
"कैलाश सिरोहिया अपराधी हो। हदै सम्मको कारवाही हुनुपर्छ।
नागरिकता किर्ते गरि दुरुपयोग गरेको मुद्दामा नेपालको प्रेस स्वतन्त्रता जोडिँदैन।","36","Yubaraj Sharma",
"सिरोहिया हाम्रो देशलाई चाहिँदैन उतै लगेर पाले हुन्छ भन्दिनु यी बाहिरी संस्थाहरुलाई ।","66","Pushpa Sanjel",
"अनि सिधा कुराको कडेल को वारेमा चै प्रेस स्वतन्त्रता को हनन् भएन र","2","Raju Pokharel",
"हेक्का रहोस ! किर्ते नागरिकता राज्य विरुद्वकाे अपराध हो। यसलाई प्रेस स्वतन्त्रता र लोकतन्त्रसंग जोड्न मिल्दैन !!  किर्ते नागरिकताबाट के कस्ता कार्य भए सबै छानबिन गरेर यस्लाइ कसुर बमोजिम जेल चलान गरियोस।","13","Udhav Thapa",
"नागरिकता किर्ते जस्तो संवेदनशील मुद्दामा अदालतले पक्राउ पुर्जी दिएपछि गृहमन्त्रालयले फुलमालाले स्वागत गर्नुपर्ने...? सिरोहिया हाम्रो देशलाई चाहिँदैन उतै लगेर पाले हुन्छ बाहिरी संस्थाहरु।","13","Deepak Lamichhane",
"स्वतन्त्र न्यायालयको पक्षमा हौं भन्नेले नै सिरोहिया अदालतको अनुमतिमा पक्राउ परेका हुन् भन्ने तथ्य लुकाएर भ्रम छरिरहेका छन् ।

सञ्चारमाध्यमले पत्रकारिताको दुरुपयोग कुन हदसम्म गर्छन्, आफूलाई फाइदा हुनेमात्र सूचना कसरी प्रवाह गर्छन् र अघोषित ‘सिन्डिकेट’ कसरी खडा गर्छन् भन्ने तथ्य कैलाश पक्राउ प्रकरणमा फेरि छताछुल्ल भएको छ 

किर्ते नागरिकता र प्रेस स्वतन्त्रता बीच गोरु बेचेको साइनो पनि छैन: कान्तिपुरका दासहरु रुनु हास्यास्पद !!","16","Copy Paste",
"अब धेरै खोकी राख्न जरूरी छैन भ्रान्तिपुर,सबैले तिम्रो नियति था’ पाईसके। यो अरु केही हैन आँफैले खनेको खाल्टोमा आँफै जाकिएको हो र जाकीनु पनी पर्छ।","11","Go Cool Dhungel",
"समाचार प्रशारण गरेकै भरमा हिजो सिधा कुराको The Dark File लाई बन्द गराउदै गर्दा, सिधा कुरा टिमलाई मुद्दा भिडाएर  अदालतको इजलासमा पानी समेत पिउन नदिइ घण्टौ उभ्याएर प्रश्न माथी प्रश्न थुपारिरहदा तिमीहरुको यो औंला उठेको थिएन । तर आज एउटा मिडियाको मालिक जो पत्रकार होइन, उस्को नागरिकता बिबाद आयो , उजुरी पर्यो, उस्ले अदालतमा मलाई धरपकड नगर्नु भन्दै रिट हाल्यो, अदालतले उस्को नागरिकताको विषय अध्ययन गर्यो र अपराध गरेको आशङ्का  गर्दै थप अनुसन्धान गर्नु परेकोले पक्राउ पुर्जी जारी गर्यो। अनि यस्तो संबेदनसिल र  अपराधिक कुरालाई तोडमोड गर्दै प्रेस स्वतन्त्रताको हवाला दिएर निर्लज्ज रुपमा यसरी चोर औला उठाइन्छ भने यो औला भाच्न लायक छ  !","12","Dipendra Pokhrel",
"हैन के अचम्म???पत्रकार ले जे अपराध गर्न पनि मिल्ने???पत्रकार ले मान्छे मारेर समात्यो भने पनि प्रेस स्वातन्त्र नै हनन हुने??कस्तो अचम्म को पत्रकार पेशा,जुन अपराध गर्न पनि छुट हुने😁😀नागारिक्ता कृते गरेर समातेको छ ,पत्रीका सङग जोडेर प्रेस स्वातन्त्र हनन भो भनेको छ,!कस्तो शक्तिशाली पेशा हो पत्रकार जुन अपराध गर्न पनि  छुट हुने??","7","Arjun Sampang",
"कम्मेन्ट हेर्दा ९९% नेपाली जनता यो कान्तिपुर को विरुद्ध छन","9","Jagadish Lamichhane",
"हिजो News 24 भित्र छिरेर प्रहरीले  रबिलाई पक्राउ गर्‍यो, अस्ति सीधाकुरालाई अनुसन्धान नै नगरी भिडियो हटाउन लगाएर स्पस्टिकरण दिदा  स्वतन्त्र  प्रेस माथिको हस्तक्षेप थिएन,आज कैलाश सिरोहियालाई कान्तिपुर भित्र छिरेर प्रहरीले  पक्राउ गर्यो यो चाहिँ प्रेस स्वतन्त्रता माथि हस्तक्षेप भयो? थुक्क मेरो देश कैलाश सिरोहिया का भाडाका टट्टु हरु अलिकती लाज श्रम छैन तिमी हरु लाइ","6","दिनेश मुस्कान",
"अहिलेकाे दुनिया पावर काे प्रयाेग गर्ने दुनिया हाे ,कान्तिपुर काे हकमा पनि उसले हदै पावर प्रयाेग गरेकाे छ ।अवैधानिक हर्कतलाई स्वतन्त्र प्रेस संग जाेडेर छुटकारा पाउने आकाक्षा /मनाेकाक्षा राख्नु सरासर गलत छ ।तत्थ्य , प्रमाण पेश गरेर उन्मुक्ति/सफाई लिने बाटाे हुदाहुदै न्यायलय सम्म पुगेकाे बिषयमा अतिरञ्जना फैलाउनु सरासर गलत हाे ।","2","Raju Bhandari",
"देशको घातक धमिरा कान्तिपुर","10","Suman Kumar Shrestha",
"कान्तीपुरले लेखेका समाचारका मुनी सर्वसाधारण जनताको कमेन्ट र असन्तुष्टीलाई पनि समाचार बनाउने हिम्मत गरोस् । भ्रम पैदा गरेर आम्मारतीमा रमाउन छाडोस् । नागरिकताको विषयलाई उजागर गरोस् । हिजो अरुका साना कमजोरीमा फरमान जारी गर्ने कान्तीपुर आज आफ्ना मालिको बचाउमा नांगेझार बनेको सुहाएन ।","0","Puspa Khatiwada",
"3 करोड जनता को साथ पाको छ यो केशमा प्रचण्ड र रबिले तेरो रुवाइ हामिलाइ थाहा छ दलाल","3","Raj Jung Basnet",
"कान्तिपुर को सबै काण्ड पर्दाफास हुन्छ। रोइलो गर्दै हेर्दै जा बेबकुफ।
 देश अब कान्तिपुर को सञ्जाल बाट मुक्त हुनेछ।","0","Binod Bikram",
"नागरिकता किर्ते दलाल देसद्रोहिलाइ छानबिन हुनै नहुने रच हैन त 🤔🤔","4","Durga Nyoupane",
"कैलाश सिरोहिया पत्रकार पनि हैनन् , मात्रै एक सञ्चार उद्योगी कान्तिपुर मिडिया ग्रुपका अध्यक्ष हुन् । र पत्रकार नै भए नि किर्ते नागरिकता लिने कसैलाई छुट छैन । यदि आफ्नो मालिकको बचाउमा यसरी पोष्टनै गर्छ भने कैलाश सिरोहियाक‍ो अन्तिम टुंगो नलागुन्जेल कान्तिपुर मिडिया हाउस बन्द हुनुपर्छ यदि विधिको शासन कायम छ भने ।","5","Shree Bishu Bhandari",
"मोदिलाइ पनि बिज्ञप्ति जारी गर्न लगाउ नभए आफै मोदिको प्रतिनिधि भएर उनको तर्फबाट निकाल ।","5","Bhuminanda Dhungana",
